MLDB_Number,Latitude,Longitude
144,48.726966,-117.555868
145,48.7407,-117.0625
146,48.778243,-119.061323
147,48.788147,-115.101281
148,48.7963,-113.661564
149,48.811979,-117.933374
150,49.00447329,-119.5881834
151,49.0269,-119.562614
152,49.034572,-119.703823
153,49.03823948,-113.2638217
154,49.046134,-119.511994
155,49.05290715,-113.8391559
156,49.10511314,-113.8776558
157,49.15188889,-53.5972
158,49.178107,-122.97379
159,49.190746,-119.779729
160,49.19239413,-123.0561284
161,49.219564,-119.951942
162,49.259632,-122.968313
163,49.274489,-122.539898
164,49.29944901,-119.7853912
165,49.323115,-117.679713
166,49.343405,-117.868053
167,49.343405,-117.868053
168,49.385133,-120.180403
169,49.45015593,-112.7068142
170,49.455257,-120.3813128
171,49.465039,-120.6018
172,49.480799,-121.406079
173,49.491054,-117.645219
174,49.550807,-117.521041
175,49.565695,-114.358494
176,49.57172575,-121.4113482
177,49.583627,-121.400717
178,49.590975,-114.523633
179,49.63204454,-115.5182054
180,49.63339278,-110.2431872
181,49.659381,-110.293353
182,49.660427,-110.049987
183,49.666718,-110.259534
184,49.74116653,-114.056302
185,49.74418288,-109.9661408
186,49.750922,-120.625902
187,49.76860264,-114.0056037
188,49.78034295,-114.0501613
189,49.82749453,-109.344789
190,49.84301707,-123.0931184
191,49.84664078,-114.1855719
192,49.8493782,-114.3064152
193,49.870111,-114.365352
194,49.882844,-119.50278
195,49.95773382,-113.6997041
196,50.01485664,-113.576846
197,50.04766569,-119.3956432
198,50.11096367,-110.5176467
199,50.13731032,-110.5878515
200,50.13791185,-113.7697399
201,50.14553,-125.567446
202,50.14652276,-110.4804944
203,50.229244,-119.099689
204,50.233255,-119.113447
205,50.234924,-121.57939
206,50.253341,-121.554009
207,50.358772,-121.390532
208,50.365953,-122.496625
209,50.372467,-114.814292
210,50.372467,-114.814292
211,50.48573733,-121.2530933
212,50.49479873,-119.7315488
213,50.53076,-121.767897
214,50.605575,-121.846561
215,50.621492,-115.15016
216,50.64540523,-120.0940054
217,50.655296,-120.031451
218,50.65788,-120.102187
